Date : 2025-04-29 21:45:38
Directory : d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT
Total : 1270 files,  439356 codes, 44993 comments, 41954 blanks, all 526303 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\label\index.rst                                                                                       | reStructuredText |         15 |          5 |         12 |         32 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\label\lv_example_label_1.c                                                                            | C                |         19 |          3 |          4 |         26 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\label\lv_example_label_1.py                                                                           | Python           |         13 |          3 |          4 |         20 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\label\lv_example_label_2.c                                                                            | C                |         20 |          9 |          8 |         37 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\label\lv_example_label_2.py                                                                           | Python           |         14 |          9 |          8 |         31 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\label\lv_example_label_3.c                                                                            | C                |         24 |          3 |          5 |         32 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\label\lv_example_label_3.py                                                                           | Python           |         24 |          4 |          9 |         37 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\label\lv_example_label_4.c                                                                            | C                |         44 |          9 |         11 |         64 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\label\lv_example_label_5.c                                                                            | C                |         20 |          5 |          6 |         31 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\label\lv_example_label_5.py                                                                           | Python           |          5 |          3 |          3 |         11 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\led\index.rst                                                                                         | reStructuredText |          3 |          1 |          4 |          8 |
