Date : 2025-04-29 21:45:38
Directory : d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT
Total : 1270 files,  439356 codes, 44993 comments, 41954 blanks, all 526303 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_btn_prev_large.c                                                                      | C                |        467 |          4 |          7 |        478 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_btn_rnd.c                                                                             | C                |        120 |          3 |          7 |        130 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_btn_rnd_large.c                                                                       | C                |        171 |          4 |          7 |        182 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_corner_left.c                                                                         | C                |         96 |          3 |          7 |        106 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_corner_left_large.c                                                                   | C                |        155 |          4 |          9 |        168 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_corner_right.c                                                                        | C                |         96 |          3 |          7 |        106 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_corner_right_large.c                                                                  | C                |        155 |          4 |          9 |        168 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_cover_1.c                                                                             | C                |        724 |          4 |          7 |        735 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_cover_1_large.c                                                                       | C                |      1,739 |          4 |          8 |      1,751 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_cover_2.c                                                                             | C                |        724 |          4 |          7 |        735 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_cover_2_large.c                                                                       | C                |      1,739 |          4 |          7 |      1,750 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_cover_3.c                                                                             | C                |        724 |          4 |          7 |        735 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_cover_3_large.c                                                                       | C                |      1,739 |          4 |          7 |      1,750 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_icon_1.c                                                                              | C                |        120 |          4 |          7 |        131 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_icon_1_large.c                                                                        | C                |        147 |          4 |          9 |        160 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_icon_2.c                                                                              | C                |        120 |          4 |          7 |        131 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_icon_2_large.c                                                                        | C                |        151 |          4 |          8 |        163 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_icon_3.c                                                                              | C                |        120 |          4 |          7 |        131 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_icon_3_large.c                                                                        | C                |        155 |          4 |          8 |        167 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_icon_4.c                                                                              | C                |        120 |          4 |          7 |        131 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_icon_4_large.c                                                                        | C                |        147 |          4 |          8 |        159 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_list_border.c                                                                         | C                |         40 |          3 |          7 |         50 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_list_border_large.c                                                                   | C                |         55 |          4 |          8 |         67 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_logo.c                                                                                | C                |        412 |          4 |          7 |        423 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_slider_knob.c                                                                         | C                |        176 |          3 |          7 |        186 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_slider_knob_large.c                                                                   | C                |        291 |          4 |          7 |        302 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_wave_bottom.c                                                                         | C                |        192 |          4 |          7 |        203 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_wave_bottom_large.c                                                                   | C                |        323 |          4 |          7 |        334 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_wave_top.c                                                                            | C                |        192 |          4 |          7 |        203 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\img_lv_demo_music_wave_top_large.c                                                                      | C                |        323 |          4 |          7 |        334 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\spectrum.py                                                                                             | Python           |         28 |          0 |          5 |         33 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\spectrum_1.h                                                                                            | C++              |        446 |          0 |          1 |        447 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\spectrum_2.h                                                                                            | C++              |        782 |          0 |          1 |        783 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\assets\spectrum_3.h                                                                                            | C++              |      1,025 |          0 |          1 |      1,026 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\lv_demo_music.c                                                                                                | C                |        212 |         29 |         36 |        277 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\lv_demo_music.h                                                                                                | C++              |         23 |         19 |         15 |         57 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\lv_demo_music_list.c                                                                                           | C                |        161 |         29 |         39 |        229 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\lv_demo_music_list.h                                                                                           | C++              |         15 |         19 |         12 |         46 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\lv_demo_music_main.c                                                                                           | C                |        811 |         56 |        144 |      1,011 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\music\lv_demo_music_main.h                                                                                           | C++              |         18 |         19 |         11 |         48 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\stress\README.md                                                                                                     | Markdown         |          9 |          0 |          5 |         14 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\stress\lv_demo_stress.c                                                                                              | C                |        357 |         41 |         77 |        475 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\stress\lv_demo_stress.h                                                                                              | C++              |         13 |         19 |         12 |         44 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\widgets\assets\img_clothes.c                                                                                         | C                |        251 |          4 |          7 |        262 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\widgets\assets\img_demo_widgets_avatar.c                                                                             | C                |        643 |          4 |          7 |        654 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\widgets\assets\img_lvgl_logo.c                                                                                       | C                |        199 |          4 |          7 |        210 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\widgets\lv_demo_widgets.c                                                                                            | C                |      1,307 |         44 |        254 |      1,605 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\widgets\lv_demo_widgets.h                                                                                            | C++              |         12 |         19 |         10 |         41 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\demos\widgets\lv_demo_widgets.py                                                                                           | Python           |        457 |         23 |         93 |        573 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\CHANGELOG.md                                                                                                          | Markdown         |      1,832 |          0 |        277 |      2,109 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\CODE_OF_CONDUCT.md                                                                                                    | Markdown         |         28 |          0 |         19 |         47 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\CODING_STYLE.md                                                                                                       | Markdown         |         95 |          0 |         29 |        124 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\CONTRIBUTING.md                                                                                                       | Markdown         |        209 |          0 |         88 |        297 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\ROADMAP.md                                                                                                            | Markdown         |         24 |          0 |          4 |         28 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\_ext\lv_example.py                                                                                                    | Python           |         80 |          0 |         19 |         99 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\_static\css\custom.css                                                                                                | CSS              |        111 |          2 |         20 |        133 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\_static\css\fontawesome.min.css                                                                                       | CSS              |          1 |          4 |          0 |          5 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\_static\js\custom.js                                                                                                  | JavaScript       |         41 |          8 |          9 |         58 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\_templates\layout.html                                                                                                | HTML             |         27 |          1 |          4 |         32 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\_templates\page.html                                                                                                  | HTML             |         76 |          0 |          7 |         83 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\build.py                                                                                                              | Python           |         48 |         10 |         17 |         75 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\conf.py                                                                                                               | Python           |        107 |         94 |         59 |        260 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\example_list.py                                                                                                       | Python           |        105 |          4 |         17 |        126 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\bindings\cpp.md                                                                                           | Markdown         |          2 |          0 |          3 |          5 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\bindings\index.md                                                                                         | Markdown         |          7 |          0 |          6 |         13 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\bindings\micropython.md                                                                                   | Markdown         |         62 |          0 |         31 |         93 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\index.md                                                                                                  | Markdown         |         21 |          0 |          7 |         28 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\os\freertos.md                                                                                            | Markdown         |          2 |          0 |          1 |          3 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\os\index.md                                                                                               | Markdown         |          9 |          0 |          5 |         14 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\os\nuttx.md                                                                                               | Markdown         |         67 |          0 |         31 |         98 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\os\rt-thread.md                                                                                           | Markdown         |         34 |          0 |         15 |         49 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\os\zephyr.md                                                                                              | Markdown         |          2 |          0 |          1 |          3 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\platforms\arduino.md                                                                                      | Markdown         |         58 |          0 |         27 |         85 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\platforms\cmake.md                                                                                        | Markdown         |         66 |          0 |         24 |         90 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\platforms\espressif.md                                                                                    | Markdown         |         35 |          0 |         24 |         59 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\platforms\index.md                                                                                        | Markdown         |         13 |          0 |          5 |         18 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\platforms\nxp.md                                                                                          | Markdown         |        159 |          0 |         24 |        183 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\platforms\pc-simulator.md                                                                                 | Markdown         |         62 |          0 |         39 |        101 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\platforms\renesas.md                                                                                      | Markdown         |        102 |          0 |         28 |        130 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\platforms\stm32.md                                                                                        | Markdown         |          2 |          0 |          3 |          5 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\platforms\tasmota-berry.md                                                                                | Markdown         |         46 |          0 |         28 |         74 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\get-started\quick-overview.md                                                                                         | Markdown         |        197 |          0 |         70 |        267 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\index.md                                                                                                              | Markdown         |         29 |          0 |         10 |         39 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\intro\index.md                                                                                                        | Markdown         |        169 |          0 |         47 |        216 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\layouts\flex.md                                                                                                       | Markdown         |         76 |          0 |         44 |        120 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\layouts\grid.md                                                                                                       | Markdown         |         73 |          0 |         41 |        114 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\layouts\index.md                                                                                                      | Markdown         |          7 |          0 |          5 |         12 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\libs\bmp.md                                                                                                           | Markdown         |         25 |          0 |         14 |         39 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\libs\ffmpeg.md                                                                                                        | Markdown         |         23 |          0 |         14 |         37 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\libs\freetype.md                                                                                                      | Markdown         |         36 |          0 |         15 |         51 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\libs\fsdrv.md                                                                                                         | Markdown         |         22 |          0 |         24 |         46 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\libs\gif.md                                                                                                           | Markdown         |         26 |          0 |         13 |         39 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\libs\index.md                                                                                                         | Markdown         |         15 |          0 |          6 |         21 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\libs\png.md                                                                                                           | Markdown         |         14 |          0 |         14 |         28 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\libs\qrcode.md                                                                                                        | Markdown         |         25 |          0 |         14 |         39 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\libs\rlottie.md                                                                                                       | Markdown         |         69 |          0 |         38 |        107 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\libs\sjpg.md                                                                                                          | Markdown         |         49 |          0 |         24 |         73 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\libs\tiny_ttf.md                                                                                                      | Markdown         |         26 |          0 |         10 |         36 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\others\fragment.md                                                                                                    | Markdown         |         54 |          0 |         24 |         78 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\others\gridnav.md                                                                                                     | Markdown         |         34 |          0 |         23 |         57 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\others\ime_pinyin.md                                                                                                  | Markdown         |         94 |          0 |         57 |        151 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\others\imgfont.md                                                                                                     | Markdown         |         19 |          0 |          7 |         26 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\others\index.md                                                                                                       | Markdown         |         12 |          0 |          6 |         18 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\others\monkey.md                                                                                                      | Markdown         |         20 |          0 |         16 |         36 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\others\msg.md                                                                                                         | Markdown         |         68 |          0 |         30 |         98 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\others\snapshot.md                                                                                                    | Markdown         |         38 |          0 |         26 |         64 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\animation.md                                                                                                 | Markdown         |         91 |          0 |         54 |        145 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\color.md                                                                                                     | Markdown         |        108 |          0 |         46 |        154 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\coords.md                                                                                                    | Markdown         |        274 |          0 |         90 |        364 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\display.md                                                                                                   | Markdown         |         64 |          0 |         40 |        104 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\drawing.md                                                                                                   | Markdown         |        154 |          0 |         68 |        222 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\event.md                                                                                                     | Markdown         |        127 |          0 |         47 |        174 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\file-system.md                                                                                               | Markdown         |         93 |          0 |         39 |        132 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\font.md                                                                                                      | Markdown         |        201 |          0 |         67 |        268 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\image.md                                                                                                     | Markdown         |        231 |          0 |        100 |        331 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\indev.md                                                                                                     | Markdown         |        103 |          0 |         48 |        151 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\index.md                                                                                                     | Markdown         |         23 |          0 |          7 |         30 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\layer.md                                                                                                     | Markdown         |         37 |          0 |         20 |         57 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\new_widget.md                                                                                                | Markdown         |          1 |          0 |          3 |          4 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\object.md                                                                                                    | Markdown         |        150 |          0 |         74 |        224 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\renderers\arm-2d.md                                                                                          | Markdown         |         15 |          0 |         18 |         33 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\renderers\dma2d.md                                                                                           | Markdown         |          2 |          0 |          3 |          5 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\renderers\index.md                                                                                           | Markdown         |         10 |          0 |          7 |         17 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\renderers\pxp-vglite.md                                                                                      | Markdown         |          2 |          0 |          3 |          5 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\renderers\sdl.md                                                                                             | Markdown         |          2 |          0 |          3 |          5 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\renderers\sw.md                                                                                              | Markdown         |          2 |          0 |          3 |          5 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\scroll.md                                                                                                    | Markdown         |        140 |          0 |         56 |        196 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\style-props.md                                                                                               | Markdown         |        703 |          0 |         97 |        800 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\style.md                                                                                                     | Markdown         |        274 |          0 |         88 |        362 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\overview\timer.md                                                                                                     | Markdown         |         64 |          0 |         36 |        100 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\porting\display.md                                                                                                    | Markdown         |        188 |          0 |         60 |        248 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\porting\gpu.md                                                                                                        | Markdown         |        157 |          0 |         42 |        199 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\porting\indev.md                                                                                                      | Markdown         |        150 |          0 |         57 |        207 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\porting\index.md                                                                                                      | Markdown         |         14 |          0 |          7 |         21 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\porting\log.md                                                                                                        | Markdown         |         33 |          0 |         17 |         50 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\porting\os.md                                                                                                         | Markdown         |         39 |          0 |         12 |         51 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\docs\porting\project.md                                                                                                    | Markdown         |         42 |          0 |         25 |         67 |
